location,specificLocation,time,itemType,crowdLevel,lostCount,weather,dayType
Business Faculty Study Area,Business Faculty Study Area,17:36,wallet,medium,3,cloudy,weekday
Anohana Canteen,Anohana Canteen,05:52,backpack,medium,1,windy,weekday
New Building Canteen,New Building Canteen,09:02,wallet,high,5,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:47,waterbottle,high,9,windy,weekday
Library,Library - 1st Floor,14:14,waterbottle,high,10,sunny,weekday
Library,Library - 1st Floor,20:00,phone,medium,6,rainy,weekend
3rd Floor Study Area,3rd Floor Study Area,23:42,waterbottle,low,2,windy,weekend
Juice Bar,Juice Bar,13:06,keys,high,2,rainy,weekday
New Building Canteen,New Building Canteen,08:50,waterbottle,high,10,rainy,weekday
Library,Library - 2nd Floor,22:49,waterbottle,medium,6,sunny,weekday
Juice Bar,Juice Bar,19:19,phone,medium,8,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,12:04,wallet,medium,3,rainy,weekend
Juice Bar,Juice Bar,05:36,backpack,medium,6,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,18:23,card,high,8,sunny,weekday
New Building Canteen,New Building Canteen,19:08,wallet,high,9,rainy,weekday
Library,Library - 1st Floor,15:38,wallet,medium,7,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,19:14,document,low,1,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,14:56,wallet,medium,4,sunny,weekend
Bird Nest Study Area,Bird Nest Study Area,06:30,backpack,medium,3,rainy,weekend
New Building Canteen,New Building Canteen,10:43,keys,high,3,windy,weekend
Business Faculty Study Area,Business Faculty Study Area,21:25,wallet,low,2,cloudy,weekend
Juice Bar,Juice Bar,13:02,waterbottle,medium,6,sunny,weekday
Basement Canteen,Basement Canteen,13:36,waterbottle,high,10,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:29,waterbottle,medium,9,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,11:57,waterbottle,medium,7,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,13:05,wallet,high,10,rainy,weekday
Juice Bar,Juice Bar,10:41,wallet,medium,8,sunny,weekday
New Building Canteen,New Building Canteen,21:54,phone,medium,9,windy,weekend
New Building Canteen,New Building Canteen,06:08,wallet,high,9,cloudy,weekday
Basement Canteen,Basement Canteen,14:51,waterbottle,medium,10,windy,weekend
Basement Canteen,Basement Canteen,00:34,card,medium,1,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,09:38,wallet,high,8,sunny,weekday
New Building Canteen,New Building Canteen,06:41,waterbottle,low,2,sunny,weekday
Library,Library - 1st Floor,14:02,phone,medium,6,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,07:19,card,low,2,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,11:06,waterbottle,high,10,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,11:20,backpack,high,10,windy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,23:21,wallet,low,1,cloudy,weekend
Anohana Canteen,Anohana Canteen,21:27,keys,high,10,windy,weekday
Library,Library - 2nd Floor,11:16,phone,medium,6,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,13:35,keys,medium,10,rainy,weekday
3rd Floor Study Area,3rd Floor Study Area,22:49,wallet,high,3,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,22:25,waterbottle,medium,6,sunny,weekday
New Building Canteen,New Building Canteen,19:56,phone,high,9,rainy,weekday
P and S Cafeteria,P and S Cafeteria,06:40,keys,high,10,sunny,weekday
New Building Canteen,New Building Canteen,11:40,backpack,high,6,windy,weekday
Library,Library - 2nd Floor,13:05,keys,high,7,sunny,weekend
Business Faculty Study Area,Business Faculty Study Area,04:22,wallet,low,8,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,20:51,backpack,medium,8,rainy,weekend
New Building Canteen,New Building Canteen,12:32,wallet,high,8,cloudy,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,10:01,wallet,high,5,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,23:26,waterbottle,medium,9,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,15:22,backpack,medium,5,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:01,backpack,high,7,sunny,weekday
Library,Library - 1st Floor,07:57,wallet,low,1,rainy,weekend
Juice Bar,Juice Bar,13:28,waterbottle,medium,6,sunny,weekday
Juice Bar,Juice Bar,12:05,waterbottle,medium,6,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,16:05,keys,medium,9,sunny,weekday
3rd Floor Study Area,3rd Floor Study Area,06:36,phone,low,3,rainy,weekend
P and S Cafeteria,P and S Cafeteria,22:47,card,low,7,rainy,weekday
Library,Library - 2nd Floor,10:55,keys,medium,7,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,09:10,wallet,medium,4,windy,weekday
P and S Cafeteria,P and S Cafeteria,13:18,keys,high,10,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,18:08,keys,high,8,windy,weekday
3rd Floor Study Area,3rd Floor Study Area,09:28,keys,medium,8,sunny,weekend
Old Library Space,Old Library Space - Computer Section,06:37,waterbottle,medium,7,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,07:49,keys,high,10,sunny,weekend
P and S Cafeteria,P and S Cafeteria,11:00,waterbottle,high,10,sunny,weekend
Library,Library - 1st Floor,20:24,backpack,medium,4,rainy,weekend
Library,Library - 1st Floor,14:01,waterbottle,medium,6,windy,weekday
New Building Canteen,New Building Canteen,12:49,keys,high,10,cloudy,weekend
Anohana Canteen,Anohana Canteen,14:08,waterbottle,high,6,sunny,weekday
P and S Cafeteria,P and S Cafeteria,18:27,wallet,high,6,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,06:26,waterbottle,high,10,rainy,weekday
Juice Bar,Juice Bar,13:37,phone,medium,8,windy,weekday
New Building Canteen,New Building Canteen,14:13,laptop,medium,4,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,19:44,document,high,10,cloudy,weekday
Library,Library - 1st Floor,14:16,phone,medium,7,sunny,weekday
Library,Library - 1st Floor,12:29,card,medium,5,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,20:57,waterbottle,high,10,windy,weekday
P and S Cafeteria,P and S Cafeteria,21:07,waterbottle,high,3,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,20:23,waterbottle,high,8,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,00:18,card,low,9,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:58,card,high,9,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,19:46,wallet,low,3,windy,weekend
Juice Bar,Juice Bar,01:18,card,low,9,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,12:26,laptop,medium,4,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,20:34,waterbottle,high,9,sunny,weekday
P and S Cafeteria,P and S Cafeteria,23:32,wallet,medium,7,sunny,weekend
P and S Cafeteria,P and S Cafeteria,14:10,keys,high,10,sunny,weekday
P and S Cafeteria,P and S Cafeteria,16:33,card,medium,10,rainy,weekend
Old Library Space,Old Library Space - 2nd Floor Study Area,13:20,document,high,10,sunny,weekday
Library,Library - 2nd Floor,10:21,phone,medium,3,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,17:20,wallet,high,6,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,19:33,wallet,medium,2,sunny,weekend
P and S Cafeteria,P and S Cafeteria,13:59,wallet,high,10,sunny,weekday
Library,Library - 1st Floor,09:29,backpack,medium,7,rainy,weekend
P and S Cafeteria,P and S Cafeteria,08:50,laptop,high,10,rainy,weekday
P and S Cafeteria,P and S Cafeteria,14:11,keys,medium,8,rainy,weekday
P and S Cafeteria,P and S Cafeteria,12:55,waterbottle,high,10,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,18:36,waterbottle,high,10,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,14:42,backpack,high,10,rainy,weekday
Basement Canteen,Basement Canteen,22:38,phone,medium,7,sunny,weekend
Library,Library - 1st Floor,17:19,laptop,medium,5,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,13:06,waterbottle,medium,10,rainy,weekday
New Building Canteen,New Building Canteen,08:05,wallet,medium,5,windy,weekend
Library,Library - 1st Floor,10:10,keys,high,7,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,17:02,wallet,medium,5,sunny,weekday
Anohana Canteen,Anohana Canteen,07:40,wallet,medium,10,sunny,weekday
New Building Canteen,New Building Canteen,20:32,phone,high,10,cloudy,weekday
Juice Bar,Juice Bar,20:49,document,medium,2,sunny,weekend
P and S Cafeteria,P and S Cafeteria,14:24,wallet,high,10,rainy,weekday
Juice Bar,Juice Bar,07:04,laptop,low,3,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,02:07,backpack,low,4,sunny,weekend
3rd Floor Study Area,3rd Floor Study Area,20:09,phone,medium,9,cloudy,weekday
New Building Canteen,New Building Canteen,23:18,wallet,medium,6,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,06:13,waterbottle,low,4,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,14:15,waterbottle,medium,6,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,12:50,keys,high,10,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,10:16,keys,high,10,rainy,weekday
Juice Bar,Juice Bar,19:35,waterbottle,medium,7,sunny,weekday
Anohana Canteen,Anohana Canteen,20:03,keys,high,8,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,06:59,backpack,low,3,windy,weekend
Business Faculty Study Area,Business Faculty Study Area,14:39,document,low,5,rainy,weekday
Anohana Canteen,Anohana Canteen,17:57,wallet,high,9,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,07:32,waterbottle,high,10,cloudy,weekday
3rd Floor Study Area,3rd Floor Study Area,10:32,card,medium,6,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,15:16,laptop,high,2,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,09:08,waterbottle,high,9,rainy,weekday
Anohana Canteen,Anohana Canteen,06:51,laptop,high,5,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,04:30,laptop,medium,7,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,21:06,phone,medium,9,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,18:37,phone,high,10,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,15:43,keys,medium,7,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,10:33,wallet,medium,1,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,16:49,backpack,high,9,sunny,weekday
New Building Canteen,New Building Canteen,19:51,card,high,9,rainy,weekend
Library,Library - 2nd Floor,10:32,backpack,medium,6,cloudy,weekday
New Building Canteen,New Building Canteen,11:45,wallet,high,9,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,22:27,wallet,high,6,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,09:44,phone,high,10,windy,weekday
Basement Canteen,Basement Canteen,15:57,document,high,8,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,10:11,phone,medium,7,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,07:28,waterbottle,high,10,sunny,weekday
Library,Library - 1st Floor,14:34,waterbottle,high,10,rainy,weekday
New Building Canteen,New Building Canteen,09:21,waterbottle,high,7,sunny,weekday
New Building Canteen,New Building Canteen,12:50,backpack,medium,10,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,11:19,laptop,low,7,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,17:30,document,medium,9,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,21:32,backpack,medium,4,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,12:27,keys,high,10,windy,weekday
P and S Cafeteria,P and S Cafeteria,11:40,card,high,10,cloudy,weekday
New Building Canteen,New Building Canteen,18:32,waterbottle,high,8,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,21:53,wallet,medium,1,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,20:29,card,medium,6,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,05:37,waterbottle,medium,10,windy,weekday
3rd Floor Study Area,3rd Floor Study Area,22:26,phone,medium,5,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,19:19,wallet,high,8,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,18:08,phone,high,8,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,12:42,waterbottle,high,10,cloudy,weekday
Juice Bar,Juice Bar,13:41,wallet,medium,5,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,14:00,card,medium,7,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,09:42,laptop,medium,5,rainy,weekend
Juice Bar,Juice Bar,20:41,phone,low,4,rainy,weekday
Juice Bar,Juice Bar,18:03,card,medium,9,rainy,weekday
P and S Cafeteria,P and S Cafeteria,12:13,waterbottle,high,9,windy,weekday
3rd Floor Study Area,3rd Floor Study Area,13:21,backpack,high,10,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,19:32,backpack,medium,8,cloudy,weekday
Library,Library - 2nd Floor,08:11,waterbottle,medium,7,sunny,weekend
3rd Floor Study Area,3rd Floor Study Area,08:49,keys,medium,5,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,09:15,backpack,high,10,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,17:10,waterbottle,medium,3,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,22:26,wallet,medium,7,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,21:19,card,medium,8,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,07:08,waterbottle,high,10,sunny,weekday
3rd Floor Study Area,3rd Floor Study Area,11:48,phone,medium,5,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,11:19,waterbottle,high,10,sunny,weekday
3rd Floor Study Area,3rd Floor Study Area,11:02,document,low,3,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,10:37,phone,medium,9,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:55,wallet,high,9,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,12:52,phone,medium,9,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,13:42,backpack,high,9,sunny,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,11:00,wallet,high,7,windy,weekday
Juice Bar,Juice Bar,14:04,keys,medium,5,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,14:56,waterbottle,high,9,sunny,weekday
Library,Library - 2nd Floor,08:55,waterbottle,medium,3,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,14:19,phone,medium,4,sunny,weekday
P and S Cafeteria,P and S Cafeteria,15:50,phone,medium,7,cloudy,weekend
Juice Bar,Juice Bar,20:00,wallet,low,1,sunny,weekend
New Building Canteen,New Building Canteen,17:18,backpack,high,10,sunny,weekday
P and S Cafeteria,P and S Cafeteria,08:12,keys,high,10,rainy,weekday
New Building Canteen,New Building Canteen,18:59,laptop,high,5,windy,weekday
Old Library Space,Old Library Space - Reading Room,15:02,waterbottle,medium,10,rainy,weekend
New Building Canteen,New Building Canteen,09:07,phone,high,8,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,19:09,phone,medium,8,rainy,weekday
Juice Bar,Juice Bar,08:16,waterbottle,medium,6,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,13:28,card,high,10,windy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,20:22,wallet,low,6,windy,weekend
Juice Bar,Juice Bar,13:59,waterbottle,low,1,sunny,weekend
P and S Cafeteria,P and S Cafeteria,16:51,waterbottle,high,8,sunny,weekend
Library,Library - 1st Floor,16:24,waterbottle,medium,9,windy,weekend
New Building Canteen,New Building Canteen,16:41,wallet,high,6,cloudy,weekday
Library,Library - 2nd Floor,15:17,keys,medium,5,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,23:06,waterbottle,medium,8,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,13:12,wallet,medium,7,sunny,weekday
P and S Cafeteria,P and S Cafeteria,09:19,waterbottle,high,10,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,16:14,waterbottle,medium,6,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,07:12,wallet,low,1,sunny,weekend
Old Library Space,Old Library Space - Reference Section,10:33,waterbottle,medium,6,windy,weekend
3rd Floor Study Area,3rd Floor Study Area,14:26,phone,medium,8,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,20:43,wallet,medium,1,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,05:51,keys,low,8,sunny,weekday
Library,Library - 2nd Floor,11:16,laptop,high,6,sunny,weekday
Library,Library - 2nd Floor,22:06,wallet,low,2,sunny,weekend
Basement Canteen,Basement Canteen,20:55,waterbottle,high,10,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,18:51,wallet,high,5,windy,weekday
Juice Bar,Juice Bar,14:22,wallet,low,4,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,14:54,wallet,high,10,sunny,weekday
Library,Library - 2nd Floor,16:35,phone,medium,9,rainy,weekend
New Building Canteen,New Building Canteen,09:12,card,high,10,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,20:17,keys,medium,10,rainy,weekend
Library,Library - 1st Floor,22:54,phone,low,2,cloudy,weekend
3rd Floor Study Area,3rd Floor Study Area,01:42,waterbottle,low,7,rainy,weekday
New Building Canteen,New Building Canteen,19:06,waterbottle,high,7,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,11:08,backpack,high,10,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,19:15,phone,medium,8,cloudy,weekday
New Building Canteen,New Building Canteen,07:03,waterbottle,high,7,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,08:00,wallet,medium,1,sunny,weekend
New Building Canteen,New Building Canteen,07:46,keys,high,8,cloudy,weekday
New Building Canteen,New Building Canteen,11:45,wallet,high,10,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,14:58,wallet,medium,2,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,09:40,wallet,high,8,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,09:54,waterbottle,high,10,windy,weekday
Juice Bar,Juice Bar,14:30,keys,medium,8,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,21:36,document,medium,1,rainy,weekday
P and S Cafeteria,P and S Cafeteria,03:26,laptop,high,9,rainy,weekday
New Building Canteen,New Building Canteen,17:54,waterbottle,high,9,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,13:44,phone,high,10,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,16:55,keys,high,9,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,06:30,laptop,low,2,sunny,weekend
Business Faculty Study Area,Business Faculty Study Area,11:18,waterbottle,medium,6,windy,weekday
Library,Library - 1st Floor,08:09,waterbottle,medium,8,windy,weekday
P and S Cafeteria,P and S Cafeteria,13:38,card,high,10,windy,weekday
P and S Cafeteria,P and S Cafeteria,21:55,card,medium,9,windy,weekday
Library,Library - 1st Floor,14:18,wallet,high,2,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,20:00,backpack,medium,9,sunny,weekday
Library,Library - 1st Floor,18:57,phone,medium,9,cloudy,weekend
Library,Library - 2nd Floor,15:21,waterbottle,medium,9,sunny,weekend
New Building Canteen,New Building Canteen,22:00,laptop,medium,8,rainy,weekday
New Building Canteen,New Building Canteen,15:36,backpack,high,9,cloudy,weekday
Juice Bar,Juice Bar,14:55,phone,medium,8,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,08:17,keys,high,10,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,12:06,backpack,medium,4,sunny,weekday
Library,Library - 1st Floor,18:29,keys,low,5,rainy,weekend
Juice Bar,Juice Bar,08:50,keys,medium,7,rainy,weekday
Library,Library - 1st Floor,11:42,backpack,medium,6,rainy,weekday
P and S Cafeteria,P and S Cafeteria,14:33,waterbottle,high,8,cloudy,weekday
Library,Library - 1st Floor,03:40,backpack,medium,2,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,10:07,backpack,low,3,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,06:55,card,low,2,rainy,weekend
New Building Canteen,New Building Canteen,21:16,keys,medium,6,sunny,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,22:13,phone,low,2,windy,weekday
New Building Canteen,New Building Canteen,21:48,wallet,low,6,windy,weekend
Business Faculty Study Area,Business Faculty Study Area,10:27,wallet,medium,6,sunny,weekday
P and S Cafeteria,P and S Cafeteria,17:01,wallet,medium,4,cloudy,weekend
Juice Bar,Juice Bar,11:43,waterbottle,medium,7,sunny,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,22:36,backpack,low,5,sunny,weekend
Juice Bar,Juice Bar,06:52,wallet,high,7,windy,weekday
Library,Library - 1st Floor,21:05,waterbottle,medium,7,sunny,weekday
New Building Canteen,New Building Canteen,08:18,waterbottle,high,10,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,12:54,keys,low,7,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,02:50,backpack,low,10,sunny,weekday
New Building Canteen,New Building Canteen,08:56,waterbottle,high,10,cloudy,weekend
Basement Canteen,Basement Canteen,03:33,wallet,high,6,rainy,weekday
Library,Library - 1st Floor,06:55,keys,medium,7,windy,weekday
Old Library Space,Old Library Space - Reading Room,06:57,laptop,low,2,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,09:24,keys,high,10,rainy,weekend
New Building Canteen,New Building Canteen,20:55,wallet,medium,7,sunny,weekend
Business Faculty Study Area,Business Faculty Study Area,15:27,wallet,medium,3,cloudy,weekday
3rd Floor Study Area,3rd Floor Study Area,08:51,keys,high,2,cloudy,weekday
New Building Canteen,New Building Canteen,20:54,wallet,medium,5,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,22:27,wallet,medium,5,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,09:32,waterbottle,high,9,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,12:44,waterbottle,medium,10,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,05:39,wallet,low,3,sunny,weekday
Library,Library - 1st Floor,23:17,waterbottle,low,5,rainy,weekend
P and S Cafeteria,P and S Cafeteria,15:55,phone,medium,6,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,03:19,laptop,medium,8,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,16:32,phone,high,10,rainy,weekend
Old Library Space,Old Library Space - 2nd Floor Study Area,21:48,keys,medium,7,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,13:36,wallet,high,7,windy,weekend
3rd Floor Study Area,3rd Floor Study Area,03:16,keys,medium,8,sunny,weekday
Juice Bar,Juice Bar,22:32,backpack,low,3,sunny,weekday
Old Library Space,Old Library Space - Computer Section,08:54,wallet,low,10,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,11:09,waterbottle,medium,8,sunny,weekday
Anohana Canteen,Anohana Canteen,11:19,waterbottle,medium,9,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,19:14,backpack,medium,7,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,19:43,wallet,medium,6,sunny,weekday
Anohana Canteen,Anohana Canteen,01:13,card,low,9,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,18:24,waterbottle,high,8,cloudy,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,23:28,waterbottle,medium,2,windy,weekend
P and S Cafeteria,P and S Cafeteria,17:02,keys,high,7,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,21:32,waterbottle,medium,8,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,12:59,backpack,high,8,windy,weekday
P and S Cafeteria,P and S Cafeteria,19:18,card,high,9,cloudy,weekday
Old Library Space,Old Library Space - Reading Room,11:59,waterbottle,high,7,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,14:02,backpack,medium,8,windy,weekend
Old Library Space,Old Library Space - Computer Section,23:08,laptop,low,2,cloudy,weekday
Anohana Canteen,Anohana Canteen,21:25,laptop,high,2,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,18:26,waterbottle,high,10,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,15:08,wallet,medium,3,cloudy,weekend
Library,Library - 2nd Floor,16:05,waterbottle,medium,4,rainy,weekday
Juice Bar,Juice Bar,09:14,wallet,medium,1,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,16:23,wallet,high,7,sunny,weekday
P and S Cafeteria,P and S Cafeteria,00:13,document,medium,10,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,07:35,waterbottle,high,10,cloudy,weekday
Library,Library - 1st Floor,21:09,card,medium,7,sunny,weekday
Basement Canteen,Basement Canteen,11:51,keys,high,9,cloudy,weekday
Old Library Space,Old Library Space - Reading Room,15:16,wallet,high,10,rainy,weekend
Library,Library - 2nd Floor,23:49,card,low,1,cloudy,weekend
Basement Canteen,Basement Canteen,12:27,waterbottle,high,10,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,16:43,keys,high,9,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,20:03,card,medium,9,rainy,weekend
Library,Library - 1st Floor,10:54,card,medium,5,sunny,weekday
P and S Cafeteria,P and S Cafeteria,11:04,waterbottle,high,9,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,13:22,document,high,10,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,14:34,backpack,medium,6,windy,weekday
Library,Library - 2nd Floor,14:07,waterbottle,medium,8,sunny,weekend
Basement Canteen,Basement Canteen,20:01,phone,medium,5,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,13:22,waterbottle,medium,6,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,12:18,phone,medium,6,sunny,weekday
Anohana Canteen,Anohana Canteen,10:56,wallet,high,6,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,14:21,waterbottle,medium,10,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,20:24,backpack,medium,6,sunny,weekday
Old Library Space,Old Library Space - Reference Section,16:33,backpack,high,8,sunny,weekday
Basement Canteen,Basement Canteen,17:35,backpack,high,10,sunny,weekday
Library,Library - 1st Floor,19:25,waterbottle,low,2,rainy,weekend
Juice Bar,Juice Bar,11:17,waterbottle,low,4,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,15:52,waterbottle,high,6,cloudy,weekday
New Building Canteen,New Building Canteen,09:44,keys,medium,6,windy,weekend
Juice Bar,Juice Bar,15:31,card,medium,3,sunny,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,10:05,waterbottle,medium,4,windy,weekend
New Building Canteen,New Building Canteen,19:08,keys,high,10,rainy,weekend
Old Library Space,Old Library Space - 2nd Floor Study Area,15:15,document,high,1,windy,weekend
P and S Cafeteria,P and S Cafeteria,07:02,waterbottle,high,10,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,07:38,phone,high,9,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,12:44,keys,high,9,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,01:41,laptop,medium,10,rainy,weekend
P and S Cafeteria,P and S Cafeteria,20:25,waterbottle,medium,6,sunny,weekend
