location,time,itemType,crowdLevel,lostCount,weather,dayType,timestamp,incident_occurred,reported_at
P and S Cafeteria,10:05,keys,high,10,sunny,weekday,2024-10-21 10:05:10,,
New Building Canteen,10:11,other,medium,3,cloudy,weekday,2024-10-21 10:11:07,,
3rd Floor Study Area,10:22,wallet,high,1,sunny,weekday,2024-10-21 10:22:14,,
Bird Nest Canteen,10:36,document,high,6,sunny,weekday,2024-10-21 10:36:23,,
Anohana Canteen,10:50,laptop,medium,6,rainy,weekday,2024-10-21 10:50:13,,
Library,10:53,bag,high,3,sunny,weekday,2024-10-21 10:53:06,,
Study Area 4th Floor New Building,11:09,other,high,1,sunny,weekday,2024-10-21 11:09:12,,
Basement Canteen,11:12,laptop,high,3,sunny,weekday,2024-10-21 11:12:56,,
P and S Cafeteria,11:25,bag,medium,7,cloudy,weekday,2024-10-21 11:25:48,,
Library outdoor Space storage,11:59,document,high,3,sunny,weekday,2024-10-21 11:59:55,,
Juice Bar,12:00,laptop,very_high,2,stormy,weekday,2024-10-21 12:00:18,,
Bird Nest Study Area,12:19,other,very_high,3,sunny,weekday,2024-10-21 12:19:27,,
Bird Nest Canteen,12:24,bag,very_high,3,cloudy,weekday,2024-10-21 12:24:34,,
P and S Cafeteria,12:27,other,very_high,8,stormy,weekday,2024-10-21 12:27:10,,
Anohana Canteen,12:28,keys,very_high,4,sunny,weekday,2024-10-21 12:28:25,,
Old Library Space,12:33,laptop,very_high,1,sunny,weekday,2024-10-21 12:33:15,,
New Building Canteen,12:43,bag,very_high,7,sunny,weekday,2024-10-21 12:43:13,,
Business Faculty Study Area,12:46,document,very_high,4,cloudy,weekday,2024-10-21 12:46:38,,
3rd Floor Study Area,13:02,phone,very_high,1,sunny,weekday,2024-10-21 13:02:25,,
Basement Canteen,13:04,keys,very_high,2,sunny,weekday,2024-10-21 13:04:58,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,13:12,keys,very_high,1,sunny,weekday,2024-10-21 13:12:05,,
Library,13:13,other,very_high,2,sunny,weekday,2024-10-21 13:13:03,,
P and S Cafeteria,13:29,document,very_high,5,rainy,weekday,2024-10-21 13:29:38,,
Study Area 4th Floor New Building,13:32,phone,very_high,1,rainy,weekday,2024-10-21 13:32:58,,
Anohana Canteen,13:33,bag,very_high,6,sunny,weekday,2024-10-21 13:33:45,,
Bird Nest Canteen,13:37,bag,very_high,6,sunny,weekday,2024-10-21 13:37:07,,
Juice Bar,14:23,document,high,2,cloudy,weekday,2024-10-21 14:23:30,,
New Building Canteen,14:23,bag,medium,5,rainy,weekday,2024-10-21 14:23:44,,
Bird Nest Study Area,14:26,document,high,2,rainy,weekday,2024-10-21 14:26:34,,
P and S Cafeteria,14:34,other,high,3,cloudy,weekday,2024-10-21 14:34:34,,
Basement Canteen,14:35,bag,high,6,stormy,weekday,2024-10-21 14:35:03,,
New Building Bio Laboratory outside space Storage Cabins,14:40,laptop,high,2,stormy,weekday,2024-10-21 14:40:29,,
Anohana Canteen,14:49,laptop,medium,4,cloudy,weekday,2024-10-21 14:49:05,,
Bird Nest Canteen,14:53,keys,high,7,sunny,weekday,2024-10-21 14:53:08,,
3rd Floor Study Area,15:37,keys,medium,1,rainy,weekday,2024-10-21 15:37:28,,
Bird Nest Canteen,15:52,bag,medium,5,rainy,weekday,2024-10-21 15:52:44,,
Old Library Space,15:53,document,high,4,sunny,weekday,2024-10-21 15:53:51,,
P and S Cafeteria,15:59,other,high,6,sunny,weekday,2024-10-21 15:59:54,,
Basement Canteen,16:00,bag,high,5,rainy,weekday,2024-10-21 16:00:41,,
Library,16:08,wallet,medium,2,stormy,weekday,2024-10-21 16:08:24,,
Juice Bar,16:18,bag,high,3,sunny,weekday,2024-10-21 16:18:08,,
Business Faculty Study Area,16:21,phone,medium,1,cloudy,weekday,2024-10-21 16:21:46,,
Anohana Canteen,16:22,phone,medium,11,rainy,weekday,2024-10-21 16:22:56,,
Main Building 5th floor outside space Storage Cabin,16:33,keys,high,1,sunny,weekday,2024-10-21 16:33:59,,
New Building Canteen,16:34,keys,high,6,sunny,weekday,2024-10-21 16:34:05,,
P and S Cafeteria,17:05,phone,medium,4,cloudy,weekday,2024-10-21 17:05:43,,
Bird Nest Study Area,17:13,wallet,high,1,sunny,weekday,2024-10-21 17:13:20,,
Study Area 4th Floor New Building,17:13,other,high,1,rainy,weekday,2024-10-21 17:13:21,,
Anohana Canteen,17:34,document,high,9,cloudy,weekday,2024-10-21 17:34:14,,
Bird Nest Canteen,17:38,wallet,high,5,sunny,weekday,2024-10-21 17:38:01,,
Old Library Space,18:29,other,low,5,stormy,weekday,2024-10-21 18:29:02,,
P and S Cafeteria,18:30,document,low,7,stormy,weekday,2024-10-21 18:30:09,,
Business Faculty Study Area,18:37,laptop,low,1,sunny,weekday,2024-10-21 18:37:17,,
Library,18:39,keys,low,6,rainy,weekday,2024-10-21 18:39:32,,
P and S Cafeteria,19:20,other,low,10,cloudy,weekday,2024-10-21 19:20:19,,
Bird Nest Study Area,19:27,other,low,2,stormy,weekday,2024-10-21 19:27:02,,
Study Area 4th Floor New Building,19:44,laptop,low,2,rainy,weekday,2024-10-21 19:44:10,,
Library,20:55,laptop,low,3,sunny,weekday,2024-10-21 20:55:51,,
P and S Cafeteria,08:01,document,very_high,8,stormy,weekday,2024-10-22 08:01:57,,
New Building Bio Laboratory outside space Storage Cabins,08:33,wallet,very_high,4,sunny,weekday,2024-10-22 08:33:57,,
Anohana Canteen,08:39,wallet,very_high,5,rainy,weekday,2024-10-22 08:39:17,,
Bird Nest Canteen,08:48,phone,very_high,3,stormy,weekday,2024-10-22 08:48:36,,
Study Area 4th Floor New Building,09:03,laptop,medium,1,cloudy,weekday,2024-10-22 09:03:45,,
Old Library Space,09:05,other,high,3,cloudy,weekday,2024-10-22 09:05:20,,
P and S Cafeteria,09:14,wallet,high,8,sunny,weekday,2024-10-22 09:14:51,,
New Building Canteen,09:17,bag,high,7,stormy,weekday,2024-10-22 09:17:22,,
Juice Bar,09:35,other,high,1,cloudy,weekday,2024-10-22 09:35:30,,
Basement Canteen,09:57,other,high,4,cloudy,weekday,2024-10-22 09:57:24,,
Anohana Canteen,10:03,document,high,7,cloudy,weekday,2024-10-22 10:03:49,,
Library,10:09,document,high,2,sunny,weekday,2024-10-22 10:09:27,,
Library outdoor Space storage,10:18,other,high,1,sunny,weekday,2024-10-22 10:18:10,,
P and S Cafeteria,10:25,other,high,15,stormy,weekday,2024-10-22 10:25:52,,
Bird Nest Study Area,10:27,laptop,high,3,cloudy,weekday,2024-10-22 10:27:59,,
Bird Nest Canteen,10:28,keys,high,10,sunny,weekday,2024-10-22 10:28:32,,
New Building Canteen,10:44,wallet,medium,1,stormy,weekday,2024-10-22 10:44:11,,
3rd Floor Study Area,11:18,phone,medium,2,cloudy,weekday,2024-10-22 11:18:22,,
Anohana Canteen,11:23,other,medium,7,cloudy,weekday,2024-10-22 11:23:40,,
P and S Cafeteria,11:33,wallet,medium,8,sunny,weekday,2024-10-22 11:33:30,,
Basement Canteen,11:38,phone,high,2,cloudy,weekday,2024-10-22 11:38:19,,
Bird Nest Canteen,11:45,other,high,3,stormy,weekday,2024-10-22 11:45:07,,
Library,11:55,keys,medium,1,rainy,weekday,2024-10-22 11:55:16,,
Study Area 4th Floor New Building,12:00,phone,very_high,3,sunny,weekday,2024-10-22 12:00:06,,
Business Faculty Study Area,12:01,document,very_high,4,cloudy,weekday,2024-10-22 12:01:00,,
Juice Bar,12:02,bag,very_high,3,cloudy,weekday,2024-10-22 12:02:58,,
Old Library Space,12:26,bag,very_high,6,cloudy,weekday,2024-10-22 12:26:39,,
Anohana Canteen,12:32,keys,very_high,10,sunny,weekday,2024-10-22 12:32:41,,
P and S Cafeteria,12:44,document,very_high,10,sunny,weekday,2024-10-22 12:44:42,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,13:00,bag,very_high,2,cloudy,weekday,2024-10-22 13:00:44,,
New Building Canteen,13:01,document,very_high,6,sunny,weekday,2024-10-22 13:01:27,,
Bird Nest Canteen,13:14,keys,very_high,5,sunny,weekday,2024-10-22 13:14:14,,
Basement Canteen,13:25,laptop,very_high,2,stormy,weekday,2024-10-22 13:25:16,,
Anohana Canteen,13:34,phone,very_high,11,sunny,weekday,2024-10-22 13:34:34,,
Main Building 5th floor outside space Storage Cabin,13:39,keys,very_high,1,stormy,weekday,2024-10-22 13:39:40,,
Bird Nest Study Area,13:42,laptop,very_high,1,sunny,weekday,2024-10-22 13:42:32,,
P and S Cafeteria,14:00,keys,medium,7,stormy,weekday,2024-10-22 14:00:28,,
Library,14:10,other,high,3,rainy,weekday,2024-10-22 14:10:55,,
Juice Bar,14:22,other,high,4,sunny,weekday,2024-10-22 14:22:50,,
Old Library Space,14:26,bag,medium,5,sunny,weekday,2024-10-22 14:26:04,,
3rd Floor Study Area,14:52,keys,medium,4,sunny,weekday,2024-10-22 14:52:53,,
Anohana Canteen,14:53,other,medium,6,sunny,weekday,2024-10-22 14:53:40,,
Bird Nest Canteen,14:55,other,high,6,sunny,weekday,2024-10-22 14:55:19,,
Basement Canteen,14:56,other,high,3,sunny,weekday,2024-10-22 14:56:05,,
Library outdoor Space storage,15:03,wallet,high,1,cloudy,weekday,2024-10-22 15:03:25,,
New Building Bio Laboratory outside space Storage Cabins,15:03,document,high,1,stormy,weekday,2024-10-22 15:03:58,,
New Building Canteen,15:09,other,medium,2,cloudy,weekday,2024-10-22 15:09:55,,
P and S Cafeteria,15:11,other,medium,6,cloudy,weekday,2024-10-22 15:11:46,,
Study Area 4th Floor New Building,15:18,document,high,2,cloudy,weekday,2024-10-22 15:18:01,,
Business Faculty Study Area,15:38,document,medium,1,sunny,weekday,2024-10-22 15:38:18,,
Bird Nest Canteen,16:00,document,medium,3,cloudy,weekday,2024-10-22 16:00:24,,
Anohana Canteen,16:01,wallet,medium,8,rainy,weekday,2024-10-22 16:01:41,,
Library,16:02,laptop,high,2,sunny,weekday,2024-10-22 16:02:57,,
P and S Cafeteria,16:04,document,medium,6,sunny,weekday,2024-10-22 16:04:33,,
Juice Bar,16:32,phone,high,4,cloudy,weekday,2024-10-22 16:32:24,,
New Building Canteen,16:46,wallet,medium,2,rainy,weekday,2024-10-22 16:46:20,,
Bird Nest Canteen,16:59,bag,medium,1,stormy,weekday,2024-10-22 16:59:41,,
P and S Cafeteria,17:03,phone,high,10,sunny,weekday,2024-10-22 17:03:36,,
Old Library Space,17:27,laptop,high,4,sunny,weekday,2024-10-22 17:27:23,,
Bird Nest Study Area,17:30,wallet,high,1,sunny,weekday,2024-10-22 17:30:53,,
Anohana Canteen,17:39,other,high,7,sunny,weekday,2024-10-22 17:39:26,,
P and S Cafeteria,18:04,laptop,low,3,sunny,weekday,2024-10-22 18:04:38,,
Study Area 4th Floor New Building,18:19,other,low,5,rainy,weekday,2024-10-22 18:19:05,,
Library,18:31,phone,low,3,rainy,weekday,2024-10-22 18:31:44,,
3rd Floor Study Area,18:38,keys,low,1,stormy,weekday,2024-10-22 18:38:59,,
Business Faculty Study Area,18:44,keys,low,3,sunny,weekday,2024-10-22 18:44:36,,
P and S Cafeteria,19:11,wallet,low,6,rainy,weekday,2024-10-22 19:11:52,,
Library,21:27,bag,low,2,rainy,weekday,2024-10-22 21:27:55,,
Anohana Canteen,08:54,document,very_high,5,sunny,weekday,2024-10-23 08:54:13,,
P and S Cafeteria,08:54,document,very_high,9,rainy,weekday,2024-10-23 08:54:45,,
New Building Canteen,09:00,document,high,3,cloudy,weekday,2024-10-23 09:00:11,,
Study Area 4th Floor New Building,09:09,other,high,3,sunny,weekday,2024-10-23 09:09:48,,
Juice Bar,09:25,wallet,high,5,sunny,weekday,2024-10-23 09:25:32,,
Bird Nest Canteen,09:25,bag,high,3,sunny,weekday,2024-10-23 09:25:33,,
Library,09:26,wallet,high,4,cloudy,weekday,2024-10-23 09:26:49,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,09:34,laptop,medium,1,sunny,weekday,2024-10-23 09:34:21,,
Main Building 5th floor outside space Storage Cabin,09:36,wallet,high,1,rainy,weekday,2024-10-23 09:36:48,,
Basement Canteen,09:53,bag,high,3,cloudy,weekday,2024-10-23 09:53:05,,
Bird Nest Study Area,09:56,document,high,1,sunny,weekday,2024-10-23 09:56:02,,
P and S Cafeteria,10:02,phone,high,9,sunny,weekday,2024-10-23 10:02:36,,
Anohana Canteen,10:08,laptop,high,8,stormy,weekday,2024-10-23 10:08:35,,
Business Faculty Study Area,10:13,bag,high,3,sunny,weekday,2024-10-23 10:13:27,,
Old Library Space,10:16,keys,medium,4,cloudy,weekday,2024-10-23 10:16:53,,
Bird Nest Canteen,10:24,other,high,12,cloudy,weekday,2024-10-23 10:24:43,,
New Building Bio Laboratory outside space Storage Cabins,10:29,phone,high,2,sunny,weekday,2024-10-23 10:29:29,,
New Building Canteen,10:47,other,medium,7,sunny,weekday,2024-10-23 10:47:18,,
Library,11:13,other,high,2,sunny,weekday,2024-10-23 11:13:23,,
Basement Canteen,11:21,keys,high,4,sunny,weekday,2024-10-23 11:21:40,,
Juice Bar,11:22,document,medium,6,cloudy,weekday,2024-10-23 11:22:44,,
Library outdoor Space storage,11:24,bag,high,2,rainy,weekday,2024-10-23 11:24:43,,
P and S Cafeteria,11:27,document,high,10,cloudy,weekday,2024-10-23 11:27:55,,
Bird Nest Canteen,11:29,document,high,4,cloudy,weekday,2024-10-23 11:29:07,,
3rd Floor Study Area,11:33,other,high,3,cloudy,weekday,2024-10-23 11:33:36,,
Anohana Canteen,11:40,wallet,high,5,rainy,weekday,2024-10-23 11:40:37,,
Bird Nest Study Area,12:03,phone,very_high,4,cloudy,weekday,2024-10-23 12:03:56,,
Study Area 4th Floor New Building,12:07,laptop,very_high,5,stormy,weekday,2024-10-23 12:07:27,,
New Building Canteen,12:13,keys,very_high,4,sunny,weekday,2024-10-23 12:13:21,,
Old Library Space,12:30,wallet,very_high,2,cloudy,weekday,2024-10-23 12:30:55,,
P and S Cafeteria,12:41,keys,very_high,7,stormy,weekday,2024-10-23 12:41:27,,
Anohana Canteen,12:47,bag,very_high,2,rainy,weekday,2024-10-23 12:47:57,,
Bird Nest Canteen,12:52,wallet,very_high,8,sunny,weekday,2024-10-23 12:52:48,,
Juice Bar,13:10,document,very_high,3,sunny,weekday,2024-10-23 13:10:16,,
Basement Canteen,13:20,wallet,very_high,3,cloudy,weekday,2024-10-23 13:20:32,,
Library,13:28,wallet,very_high,2,rainy,weekday,2024-10-23 13:28:31,,
P and S Cafeteria,13:39,keys,very_high,6,stormy,weekday,2024-10-23 13:39:37,,
Business Faculty Study Area,13:48,bag,very_high,6,sunny,weekday,2024-10-23 13:48:40,,
Anohana Canteen,14:07,document,high,4,sunny,weekday,2024-10-23 14:07:26,,
Bird Nest Canteen,14:24,wallet,high,7,rainy,weekday,2024-10-23 14:24:52,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,14:28,keys,high,2,sunny,weekday,2024-10-23 14:28:48,,
New Building Canteen,14:30,laptop,high,3,sunny,weekday,2024-10-23 14:30:16,,
P and S Cafeteria,14:44,laptop,high,8,cloudy,weekday,2024-10-23 14:44:57,,
Bird Nest Study Area,14:47,phone,medium,1,stormy,weekday,2024-10-23 14:47:40,,
3rd Floor Study Area,14:56,phone,medium,3,sunny,weekday,2024-10-23 14:56:51,,
Basement Canteen,14:59,document,high,2,cloudy,weekday,2024-10-23 14:59:56,,
Old Library Space,15:01,bag,high,3,sunny,weekday,2024-10-23 15:01:35,,
Anohana Canteen,15:41,laptop,medium,4,sunny,weekday,2024-10-23 15:41:59,,
P and S Cafeteria,15:45,document,high,9,sunny,weekday,2024-10-23 15:45:22,,
Juice Bar,15:48,wallet,high,5,cloudy,weekday,2024-10-23 15:48:04,,
Study Area 4th Floor New Building,15:49,bag,high,1,sunny,weekday,2024-10-23 15:49:58,,
Bird Nest Canteen,15:54,laptop,medium,6,cloudy,weekday,2024-10-23 15:54:03,,
Main Building 5th floor outside space Storage Cabin,15:55,phone,high,1,rainy,weekday,2024-10-23 15:55:23,,
Library,15:55,phone,medium,2,sunny,weekday,2024-10-23 15:55:24,,
Library outdoor Space storage,16:30,keys,high,1,cloudy,weekday,2024-10-23 16:30:25,,
P and S Cafeteria,16:32,other,high,4,cloudy,weekday,2024-10-23 16:32:26,,
New Building Canteen,16:33,other,high,4,rainy,weekday,2024-10-23 16:33:06,,
Business Faculty Study Area,16:37,phone,high,2,cloudy,weekday,2024-10-23 16:37:15,,
Anohana Canteen,16:41,keys,high,5,cloudy,weekday,2024-10-23 16:41:45,,
Bird Nest Canteen,16:59,phone,medium,8,sunny,weekday,2024-10-23 16:59:19,,
Old Library Space,17:05,keys,high,5,rainy,weekday,2024-10-23 17:05:04,,
P and S Cafeteria,17:29,wallet,high,7,stormy,weekday,2024-10-23 17:29:30,,
New Building Bio Laboratory outside space Storage Cabins,17:39,phone,medium,1,cloudy,weekday,2024-10-23 17:39:36,,
Anohana Canteen,17:49,wallet,high,6,sunny,weekday,2024-10-23 17:49:05,,
Library,17:53,laptop,medium,1,sunny,weekday,2024-10-23 17:53:43,,
Bird Nest Study Area,17:58,phone,high,1,sunny,weekday,2024-10-23 17:58:57,,
3rd Floor Study Area,18:44,document,low,1,stormy,weekday,2024-10-23 18:44:20,,
Study Area 4th Floor New Building,18:44,laptop,low,3,rainy,weekday,2024-10-23 18:44:54,,
P and S Cafeteria,18:45,phone,low,4,cloudy,weekday,2024-10-23 18:45:12,,
Library,20:56,document,low,3,sunny,weekday,2024-10-23 20:56:58,,
Bird Nest Study Area,08:05,other,very_high,2,stormy,weekday,2024-10-24 08:05:51,,
Bird Nest Canteen,08:30,bag,very_high,6,cloudy,weekday,2024-10-24 08:30:21,,
Old Library Space,08:30,laptop,very_high,1,sunny,weekday,2024-10-24 08:30:50,,
Library,08:39,wallet,very_high,3,sunny,weekday,2024-10-24 08:39:44,,
P and S Cafeteria,08:42,laptop,very_high,7,rainy,weekday,2024-10-24 08:42:50,,
Anohana Canteen,08:47,other,very_high,10,stormy,weekday,2024-10-24 08:47:38,,
Library outdoor Space storage,08:52,phone,very_high,3,cloudy,weekday,2024-10-24 08:52:13,,
P and S Cafeteria,09:32,bag,high,7,sunny,weekday,2024-10-24 09:32:52,,
Basement Canteen,09:46,wallet,high,6,sunny,weekday,2024-10-24 09:46:15,,
Anohana Canteen,10:05,document,high,5,rainy,weekday,2024-10-24 10:05:33,,
Juice Bar,10:13,laptop,high,5,rainy,weekday,2024-10-24 10:13:34,,
Bird Nest Canteen,10:13,phone,high,1,rainy,weekday,2024-10-24 10:13:39,,
New Building Canteen,10:14,other,high,2,cloudy,weekday,2024-10-24 10:14:55,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,10:19,other,high,1,sunny,weekday,2024-10-24 10:19:49,,
P and S Cafeteria,10:31,keys,medium,7,cloudy,weekday,2024-10-24 10:31:19,,
New Building Bio Laboratory outside space Storage Cabins,10:39,laptop,high,3,cloudy,weekday,2024-10-24 10:39:02,,
Old Library Space,10:42,keys,medium,3,cloudy,weekday,2024-10-24 10:42:10,,
Bird Nest Study Area,10:56,phone,medium,3,cloudy,weekday,2024-10-24 10:56:11,,
Library,11:00,laptop,medium,4,rainy,weekday,2024-10-24 11:00:39,,
Business Faculty Study Area,11:19,laptop,medium,1,sunny,weekday,2024-10-24 11:19:11,,
P and S Cafeteria,11:31,laptop,medium,8,sunny,weekday,2024-10-24 11:31:57,,
3rd Floor Study Area,11:33,keys,high,3,stormy,weekday,2024-10-24 11:33:25,,
Anohana Canteen,11:37,document,medium,4,stormy,weekday,2024-10-24 11:37:12,,
Bird Nest Canteen,11:46,bag,medium,4,stormy,weekday,2024-10-24 11:46:22,,
New Building Canteen,11:48,wallet,high,1,sunny,weekday,2024-10-24 11:48:35,,
Basement Canteen,12:00,document,very_high,6,sunny,weekday,2024-10-24 12:00:42,,
Juice Bar,12:14,wallet,very_high,3,cloudy,weekday,2024-10-24 12:14:35,,
Study Area 4th Floor New Building,12:15,other,very_high,1,sunny,weekday,2024-10-24 12:15:47,,
P and S Cafeteria,12:31,keys,very_high,8,sunny,weekday,2024-10-24 12:31:06,,
Library,12:50,wallet,very_high,3,sunny,weekday,2024-10-24 12:50:14,,
Main Building 5th floor outside space Storage Cabin,12:54,other,very_high,2,rainy,weekday,2024-10-24 12:54:59,,
Anohana Canteen,13:06,laptop,very_high,5,sunny,weekday,2024-10-24 13:06:55,,
P and S Cafeteria,13:25,other,very_high,8,cloudy,weekday,2024-10-24 13:25:15,,
Bird Nest Canteen,13:32,keys,very_high,4,stormy,weekday,2024-10-24 13:32:29,,
New Building Canteen,13:35,keys,very_high,5,sunny,weekday,2024-10-24 13:35:01,,
Bird Nest Study Area,13:36,other,very_high,1,rainy,weekday,2024-10-24 13:36:30,,
Basement Canteen,13:46,bag,very_high,2,cloudy,weekday,2024-10-24 13:46:37,,
Juice Bar,14:12,other,high,2,cloudy,weekday,2024-10-24 14:12:25,,
Anohana Canteen,14:14,keys,medium,5,cloudy,weekday,2024-10-24 14:14:00,,
Old Library Space,14:14,wallet,high,6,sunny,weekday,2024-10-24 14:14:41,,
Library,14:31,phone,medium,2,stormy,weekday,2024-10-24 14:31:04,,
3rd Floor Study Area,14:37,other,medium,1,stormy,weekday,2024-10-24 14:37:24,,
P and S Cafeteria,14:46,document,high,7,cloudy,weekday,2024-10-24 14:46:09,,
Library outdoor Space storage,15:01,keys,high,2,stormy,weekday,2024-10-24 15:01:58,,
New Building Canteen,15:08,bag,high,5,sunny,weekday,2024-10-24 15:08:14,,
Business Faculty Study Area,15:11,wallet,high,5,cloudy,weekday,2024-10-24 15:11:25,,
Basement Canteen,15:20,laptop,high,3,cloudy,weekday,2024-10-24 15:20:09,,
Bird Nest Canteen,15:21,document,medium,4,rainy,weekday,2024-10-24 15:21:26,,
Anohana Canteen,15:30,laptop,high,5,stormy,weekday,2024-10-24 15:30:36,,
Study Area 4th Floor New Building,15:59,document,high,2,sunny,weekday,2024-10-24 15:59:55,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,16:05,wallet,high,1,sunny,weekday,2024-10-24 16:05:26,,
P and S Cafeteria,16:08,other,medium,8,sunny,weekday,2024-10-24 16:08:32,,
Juice Bar,16:26,phone,high,2,rainy,weekday,2024-10-24 16:26:01,,
Anohana Canteen,16:43,phone,medium,13,stormy,weekday,2024-10-24 16:43:03,,
Bird Nest Canteen,16:46,keys,high,4,cloudy,weekday,2024-10-24 16:46:22,,
Library,16:48,other,high,5,rainy,weekday,2024-10-24 16:48:19,,
Bird Nest Study Area,16:58,keys,medium,2,cloudy,weekday,2024-10-24 16:58:13,,
Old Library Space,17:00,phone,high,2,cloudy,weekday,2024-10-24 17:00:49,,
New Building Bio Laboratory outside space Storage Cabins,17:06,wallet,medium,6,sunny,weekday,2024-10-24 17:06:03,,
P and S Cafeteria,17:30,keys,high,10,rainy,weekday,2024-10-24 17:30:55,,
Main Building 5th floor outside space Storage Cabin,17:46,other,medium,1,sunny,weekday,2024-10-24 17:46:56,,
3rd Floor Study Area,18:41,bag,low,3,stormy,weekday,2024-10-24 18:41:41,,
Business Faculty Study Area,18:49,keys,low,3,cloudy,weekday,2024-10-24 18:49:28,,
P and S Cafeteria,18:51,other,low,11,sunny,weekday,2024-10-24 18:51:36,,
Library,18:56,keys,low,5,cloudy,weekday,2024-10-24 18:56:34,,
Bird Nest Study Area,19:30,bag,low,4,rainy,weekday,2024-10-24 19:30:37,,
P and S Cafeteria,19:56,phone,low,7,sunny,weekday,2024-10-24 19:56:20,,
Library,21:24,document,low,2,cloudy,weekday,2024-10-24 21:24:34,,
Old Library Space,08:02,laptop,very_high,2,stormy,weekday,2024-10-25 08:02:13,,
Library outdoor Space storage,08:19,other,very_high,1,cloudy,weekday,2024-10-25 08:19:38,,
Bird Nest Canteen,08:25,bag,very_high,4,cloudy,weekday,2024-10-25 08:25:20,,
P and S Cafeteria,08:43,bag,very_high,10,rainy,weekday,2024-10-25 08:43:29,,
Anohana Canteen,08:45,document,very_high,5,sunny,weekday,2024-10-25 08:45:42,,
Basement Canteen,09:15,bag,medium,5,sunny,weekday,2024-10-25 09:15:52,,
P and S Cafeteria,09:40,keys,high,7,sunny,weekday,2024-10-25 09:40:04,,
Main Building 5th floor outside space Storage Cabin,09:42,laptop,medium,1,sunny,weekday,2024-10-25 09:42:14,,
New Building Canteen,09:48,laptop,medium,5,rainy,weekday,2024-10-25 09:48:46,,
New Building Bio Laboratory outside space Storage Cabins,09:49,bag,high,1,cloudy,weekday,2024-10-25 09:49:34,,
Library,09:51,phone,high,6,sunny,weekday,2024-10-25 09:51:19,,
Anohana Canteen,10:09,phone,high,4,cloudy,weekday,2024-10-25 10:09:45,,
Bird Nest Canteen,10:12,laptop,medium,3,sunny,weekday,2024-10-25 10:12:25,,
P and S Cafeteria,10:30,laptop,high,10,sunny,weekday,2024-10-25 10:30:34,,
Study Area 4th Floor New Building,10:32,wallet,high,2,sunny,weekday,2024-10-25 10:32:04,,
Bird Nest Study Area,10:35,other,medium,1,sunny,weekday,2024-10-25 10:35:58,,
Old Library Space,10:46,other,medium,2,stormy,weekday,2024-10-25 10:46:35,,
Business Faculty Study Area,10:49,bag,medium,3,cloudy,weekday,2024-10-25 10:49:08,,
Juice Bar,10:54,laptop,high,3,cloudy,weekday,2024-10-25 10:54:57,,
New Building Canteen,11:18,phone,high,4,cloudy,weekday,2024-10-25 11:18:41,,
Basement Canteen,11:22,bag,high,6,cloudy,weekday,2024-10-25 11:22:20,,
3rd Floor Study Area,11:23,wallet,high,2,cloudy,weekday,2024-10-25 11:23:24,,
Bird Nest Canteen,11:27,phone,high,7,rainy,weekday,2024-10-25 11:27:48,,
Anohana Canteen,11:28,document,high,4,rainy,weekday,2024-10-25 11:28:44,,
P and S Cafeteria,11:41,wallet,high,8,cloudy,weekday,2024-10-25 11:41:18,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,12:02,bag,very_high,1,cloudy,weekday,2024-10-25 12:02:49,,
Bird Nest Canteen,12:31,keys,very_high,2,cloudy,weekday,2024-10-25 12:31:29,,
P and S Cafeteria,12:36,phone,very_high,6,rainy,weekday,2024-10-25 12:36:16,,
Anohana Canteen,12:37,document,very_high,7,sunny,weekday,2024-10-25 12:37:19,,
Basement Canteen,12:42,other,very_high,5,rainy,weekday,2024-10-25 12:42:21,,
Library,12:46,document,very_high,2,sunny,weekday,2024-10-25 12:46:49,,
Study Area 4th Floor New Building,13:00,other,very_high,1,rainy,weekday,2024-10-25 13:00:10,,
Business Faculty Study Area,13:01,laptop,very_high,1,sunny,weekday,2024-10-25 13:01:38,,
New Building Canteen,13:03,wallet,very_high,1,sunny,weekday,2024-10-25 13:03:01,,
Juice Bar,13:24,wallet,very_high,3,cloudy,weekday,2024-10-25 13:24:08,,
Bird Nest Study Area,13:28,phone,very_high,2,sunny,weekday,2024-10-25 13:28:34,,
Old Library Space,13:50,document,very_high,2,sunny,weekday,2024-10-25 13:50:24,,
P and S Cafeteria,13:55,bag,very_high,11,sunny,weekday,2024-10-25 13:55:05,,
Library outdoor Space storage,14:06,phone,high,2,cloudy,weekday,2024-10-25 14:06:18,,
Bird Nest Canteen,14:11,wallet,high,7,sunny,weekday,2024-10-25 14:11:00,,
Anohana Canteen,14:12,laptop,medium,7,sunny,weekday,2024-10-25 14:12:20,,
3rd Floor Study Area,14:17,keys,high,1,rainy,weekday,2024-10-25 14:17:56,,
Basement Canteen,14:29,keys,high,7,rainy,weekday,2024-10-25 14:29:18,,
Library,14:39,keys,high,4,cloudy,weekday,2024-10-25 14:39:47,,
New Building Canteen,14:45,document,medium,3,rainy,weekday,2024-10-25 14:45:00,,
